"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2015","2015",282,4858979,5.8
"Total","Alabama","01",,,282,4858979,5.8
,"Alaska","02","2015","2015",86,738432,11.6
"Total","Alaska","02",,,86,738432,11.6
,"Arizona","04","2015","2015",671,6828065,9.8
"Total","Arizona","04",,,671,6828065,9.8
,"Arkansas","05","2015","2015",203,2978204,6.8
"Total","Arkansas","05",,,203,2978204,6.8
,"California","06","2015","2015",2018,39144818,5.2
"Total","California","06",,,2018,39144818,5.2
,"Colorado","08","2015","2015",495,5456574,9.1
"Total","Colorado","08",,,495,5456574,9.1
,"Connecticut","09","2015","2015",685,3590886,19.1
"Total","Connecticut","09",,,685,3590886,19.1
,"Delaware","10","2015","2015",133,945934,14.1
"Total","Delaware","10",,,133,945934,14.1
,"District of Columbia","11","2015","2015",98,672228,14.6
"Total","District of Columbia","11",,,98,672228,14.6
,"Florida","12","2015","2015",1838,20271272,9.1
"Total","Florida","12",,,1838,20271272,9.1
,"Georgia","13","2015","2015",858,10214860,8.4
"Total","Georgia","13",,,858,10214860,8.4
,"Hawaii","15","2015","2015",62,1431603,4.3
"Total","Hawaii","15",,,62,1431603,4.3
,"Idaho","16","2015","2015",90,1654930,5.4
"Total","Idaho","16",,,90,1654930,5.4
,"Illinois","17","2015","2015",1381,12859995,10.7
"Total","Illinois","17",,,1381,12859995,10.7
,"Indiana","18","2015","2015",536,6619680,8.1
"Total","Indiana","18",,,536,6619680,8.1
,"Iowa","19","2015","2015",170,3123899,5.4
"Total","Iowa","19",,,170,3123899,5.4
,"Kansas","20","2015","2015",150,2911641,5.2
"Total","Kansas","20",,,150,2911641,5.2
,"Kentucky","21","2015","2015",885,4425092,20.0
"Total","Kentucky","21",,,885,4425092,20.0
,"Louisiana","22","2015","2015",287,4670724,6.1
"Total","Louisiana","22",,,287,4670724,6.1
,"Maine","23","2015","2015",238,1329328,17.9
"Total","Maine","23",,,238,1329328,17.9
,"Maryland","24","2015","2015",1087,6006401,18.1
"Total","Maryland","24",,,1087,6006401,18.1
,"Massachusetts","25","2015","2015",1550,6794422,22.8
"Total","Massachusetts","25",,,1550,6794422,22.8
,"Michigan","26","2015","2015",1309,9922576,13.2
"Total","Michigan","26",,,1309,9922576,13.2
,"Minnesota","27","2015","2015",338,5489594,6.2
"Total","Minnesota","27",,,338,5489594,6.2
,"Mississippi","28","2015","2015",150,2992333,5.0
"Total","Mississippi","28",,,150,2992333,5.0
,"Missouri","29","2015","2015",692,6083672,11.4
"Total","Missouri","29",,,692,6083672,11.4
,"Montana","30","2015","2015",48,1032949,4.6
"Total","Montana","30",,,48,1032949,4.6
,"Nebraska","31","2015","2015",55,1896190,2.9
"Total","Nebraska","31",,,55,1896190,2.9
,"Nevada","32","2015","2015",419,2890845,14.5
"Total","Nevada","32",,,419,2890845,14.5
,"New Hampshire","33","2015","2015",380,1330608,28.6
"Total","New Hampshire","33",,,380,1330608,28.6
,"New Jersey","34","2015","2015",862,8958013,9.6
"Total","New Jersey","34",,,862,8958013,9.6
,"New Mexico","35","2015","2015",351,2085109,16.8
"Total","New Mexico","35",,,351,2085109,16.8
,"New York","36","2015","2015",2166,19795791,10.9
"Total","New York","36",,,2166,19795791,10.9
,"North Carolina","37","2015","2015",1171,10042802,11.7
"Total","North Carolina","37",,,1171,10042802,11.7
,"North Dakota","38","2015","2015",34,756927,4.5
"Total","North Dakota","38",,,34,756927,4.5
,"Ohio","39","2015","2015",2698,11613423,23.2
"Total","Ohio","39",,,2698,11613423,23.2
,"Oklahoma","40","2015","2015",427,3911338,10.9
"Total","Oklahoma","40",,,427,3911338,10.9
,"Oregon","41","2015","2015",331,4028977,8.2
"Total","Oregon","41",,,331,4028977,8.2
,"Pennsylvania","42","2015","2015",1362,12802503,10.6
"Total","Pennsylvania","42",,,1362,12802503,10.6
,"Rhode Island","44","2015","2015",254,1056298,24.0
"Total","Rhode Island","44",,,254,1056298,24.0
,"South Carolina","45","2015","2015",554,4896146,11.3
"Total","South Carolina","45",,,554,4896146,11.3
,"South Dakota","46","2015","2015",27,858469,3.1
"Total","South Dakota","46",,,27,858469,3.1
,"Tennessee","47","2015","2015",1038,6600299,15.7
"Total","Tennessee","47",,,1038,6600299,15.7
,"Texas","48","2015","2015",1287,27469114,4.7
"Total","Texas","48",,,1287,27469114,4.7
,"Utah","49","2015","2015",448,2995919,15.0
"Total","Utah","49",,,448,2995919,15.0
,"Vermont","50","2015","2015",79,626042,12.6
"Total","Vermont","50",,,79,626042,12.6
,"Virginia","51","2015","2015",820,8382993,9.8
"Total","Virginia","51",,,820,8382993,9.8
,"Washington","53","2015","2015",692,7170351,9.7
"Total","Washington","53",,,692,7170351,9.7
,"West Virginia","54","2015","2015",629,1844128,34.1
"Total","West Virginia","54",,,629,1844128,34.1
,"Wisconsin","55","2015","2015",622,5771337,10.8
"Total","Wisconsin","55",,,622,5771337,10.8
,"Wyoming","56","2015","2015",46,586107,7.8
"Total","Wyoming","56",,,46,586107,7.8
"Total",,,,,33092,321418820,10.3
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"UCD - Drug/Alcohol Induced Causes: Drug-induced causes"
"Year/Month: 2015"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Apr 8, 2026 5:43:41 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Apr 8, 2026 5:43:41 PM"
"---"
Caveats:
"1. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"3. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."